sale_id,product_id,store_id,customer_id,channel_id,sale_date,year,month,month_name,quarter,season,is_weekend,product_name,brand,category,subcategory,store_name,region,state,city,gender,age_group,loyalty_flag,channel_name,quantity,gross_revenue,discount_value,net_revenue,cost,profit
1,9,2,NULL,2,2024-03-19,2024,3,March,1,"Dia da Mulher",0,"Produto 9","O BoticÃ¡rio",Maquiagem,"PÃ³ Facial","Loja 2",Nordeste,SE,Aracaju,NULL,NULL,NULL,E-commerce,3,166.00,11.00,155.00,103.00,51.32
2,20,7,NULL,1,2025-01-14,2025,1,January,1,Regular,0,"Produto 20","O BoticÃ¡rio",Skincare,Anti-Idade,"Loja 7",Sul,RS,"Porto Alegre",NULL,NULL,NULL,"Loja FÃ­sica",1,139.00,0.00,139.00,79.00,60.72
3,37,12,412,1,2024-03-22,2024,3,March,1,"Dia da Mulher",0,"Produto 37",Eudora,Skincare,"ProteÃ§Ã£o Solar","Loja 12",Nordeste,BA,Salvador,F,"NÃ£o Informado",False,"Loja FÃ­sica",1,31.00,3.00,28.00,15.00,12.42
4,5,14,392,2,2024-07-31,2024,7,July,3,Regular,0,"Produto 5","Quem Disse Berenice",Perfume,Gourmand,"Loja 14",Sul,RS,"Porto Alegre",F,50+,False,E-commerce,3,680.00,0.00,680.00,353.00,326.40
5,38,3,NULL,2,2024-12-25,2024,12,December,4,Natal,0,"Produto 38","Quem Disse Berenice",Perfume,Amadeirado,"Loja 3",Sul,MS,"Campo Grande",NULL,NULL,NULL,E-commerce,1,226.00,45.00,181.00,95.00,86.26
6,32,8,335,2,2024-01-04,2024,1,January,1,Regular,0,"Produto 32",Eudora,Maquiagem,Base,"Loja 8",Nordeste,BA,Salvador,F,18-25,True,E-commerce,1,142.00,14.00,128.00,95.00,32.44
7,32,15,180,2,2025-06-07,2025,6,June,2,"Dia dos Namorados",1,"Produto 32",Eudora,Maquiagem,Base,"Loja 15",Nordeste,PE,Recife,F,"NÃ£o Informado",False,E-commerce,4,417.00,0.00,417.00,276.00,141.16
8,22,5,NULL,1,2024-09-20,2024,9,September,3,Regular,0,"Produto 22",Eudora,Perfume,Amadeirado,"Loja 5",Sudeste,SP,"SÃ£o Paulo",NULL,NULL,NULL,"Loja FÃ­sica",3,417.00,13.00,403.00,281.00,122.58
9,22,3,186,1,2025-04-08,2025,4,April,2,Regular,0,"Produto 22",Eudora,Perfume,Amadeirado,"Loja 3",Sul,MS,"Campo Grande",M,"NÃ£o Informado",False,"Loja FÃ­sica",5,919.00,18.00,901.00,557.00,343.75
10,45,2,210,1,2025-03-04,2025,3,March,1,"Dia da Mulher",0,"Produto 45","O BoticÃ¡rio",Maquiagem,Base,"Loja 2",Nordeste,SE,Aracaju,M,"NÃ£o Informado",False,"Loja FÃ­sica",3,696.00,23.00,673.00,397.00,276.14
11,16,14,101,1,2025-08-04,2025,8,August,3,Regular,0,"Produto 16","O BoticÃ¡rio",Maquiagem,Batom,"Loja 14",Sul,RS,"Porto Alegre",M,26-35,True,"Loja FÃ­sica",3,268.00,0.00,268.00,116.00,152.04
12,41,1,NULL,1,2024-06-23,2024,6,June,2,"Dia dos Namorados",1,"Produto 41","Quem Disse Berenice",Skincare,Limpeza,"Loja 1",Nordeste,PE,Recife,NULL,NULL,NULL,"Loja FÃ­sica",1,185.00,37.00,148.00,86.00,62.35
13,29,13,214,1,2025-04-26,2025,4,April,2,Regular,1,"Produto 29","Quem Disse Berenice",Skincare,"Tratamento Facial","Loja 13",Sudeste,SP,"SÃ£o Paulo",F,50+,False,"Loja FÃ­sica",4,432.00,10.00,421.00,236.00,185.11
14,5,5,NULL,2,2024-10-31,2024,10,October,4,Regular,0,"Produto 5","Quem Disse Berenice",Perfume,Gourmand,"Loja 5",Sudeste,SP,"SÃ£o Paulo",NULL,NULL,NULL,E-commerce,1,239.00,23.00,215.00,122.00,92.52
15,42,1,409,1,2025-09-25,2025,9,September,3,Regular,0,"Produto 42","O BoticÃ¡rio",Perfume,"NÃ£o Classificado","Loja 1",Nordeste,PE,Recife,F,50+,False,"Loja FÃ­sica",1,69.00,13.00,55.00,40.00,14.85
16,23,6,424,1,2024-11-11,2024,11,November,4,"Black Friday",0,"Produto 23",Eudora,Maquiagem,Olhos,"Loja 6",Sudeste,MG,"Belo Horizonte",M,18-25,True,"Loja FÃ­sica",4,938.00,23.00,914.00,531.00,383.74
17,19,12,393,1,2024-02-21,2024,2,February,1,Regular,0,"Produto 19",Eudora,Perfume,Floral,"Loja 12",Nordeste,BA,Salvador,F,26-35,True,"Loja FÃ­sica",5,645.00,0.00,645.00,441.00,204.70
18,45,7,245,2,2025-12-29,2025,12,December,4,Natal,0,"Produto 45","O BoticÃ¡rio",Maquiagem,Base,"Loja 7",Sul,RS,"Porto Alegre",F,50+,True,E-commerce,3,309.00,10.00,299.00,213.00,86.33
19,30,11,296,1,2025-06-15,2025,6,June,2,"Dia dos Namorados",1,"Produto 30","O BoticÃ¡rio",Maquiagem,Corretivo,"Loja 11",Nordeste,CE,Fortaleza,F,26-35,True,"Loja FÃ­sica",1,44.00,0.00,44.00,27.00,16.86
20,50,11,NULL,1,2025-05-07,2025,5,May,2,"Dia das MÃ£es",0,"Produto 50","Quem Disse Berenice",Skincare,HidrataÃ§Ã£o,"Loja 11",Nordeste,CE,Fortaleza,NULL,NULL,NULL,"Loja FÃ­sica",4,822.00,0.00,822.00,358.00,463.76
21,6,11,249,1,2024-03-26,2024,3,March,1,"Dia da Mulher",0,"Produto 6",Eudora,Perfume,Floral,"Loja 11",Nordeste,CE,Fortaleza,F,"NÃ£o Informado",False,"Loja FÃ­sica",1,144.00,0.00,144.00,79.00,64.94
22,44,1,38,2,2024-10-05,2024,10,October,4,Regular,1,"Produto 44","O BoticÃ¡rio",Maquiagem,Olhos,"Loja 1",Nordeste,PE,Recife,M,50+,True,E-commerce,2,498.00,24.00,473.00,316.00,157.02
23,23,15,257,1,2025-11-15,2025,11,November,4,"Black Friday",1,"Produto 23",Eudora,Maquiagem,Olhos,"Loja 15",Nordeste,PE,Recife,F,26-35,False,"Loja FÃ­sica",5,437.00,17.00,420.00,189.00,230.35
24,14,3,NULL,2,2024-05-15,2024,5,May,2,"Dia das MÃ£es",0,"Produto 14","O BoticÃ¡rio",Maquiagem,"NÃ£o Classificado","Loja 3",Sul,MS,"Campo Grande",NULL,NULL,NULL,E-commerce,4,958.00,23.00,934.00,426.00,508.23
25,41,1,246,1,2025-04-16,2025,4,April,2,Regular,0,"Produto 41","Quem Disse Berenice",Skincare,Limpeza,"Loja 1",Nordeste,PE,Recife,M,18-25,False,"Loja FÃ­sica",1,238.00,23.00,214.00,126.00,88.08
26,50,8,226,2,2024-05-30,2024,5,May,2,"Dia das MÃ£es",0,"Produto 50","Quem Disse Berenice",Skincare,HidrataÃ§Ã£o,"Loja 8",Nordeste,BA,Salvador,M,50+,True,E-commerce,1,181.00,36.00,144.00,110.00,34.62
27,12,3,21,1,2024-01-23,2024,1,January,1,Regular,0,"Produto 12",Eudora,Skincare,"ProteÃ§Ã£o Solar","Loja 3",Sul,MS,"Campo Grande",F,50+,False,"Loja FÃ­sica",5,224.00,4.00,220.00,97.00,122.86
28,39,11,NULL,2,2024-12-06,2024,12,December,4,Natal,0,"Produto 39","O BoticÃ¡rio",Skincare,Limpeza,"Loja 11",Nordeste,CE,Fortaleza,NULL,NULL,NULL,E-commerce,5,813.00,32.00,780.00,480.00,299.92
29,4,9,130,2,2025-01-30,2025,1,January,1,Regular,0,"Produto 4",Eudora,Perfume,Gourmand,"Loja 9",Sul,PR,Curitiba,M,18-25,True,E-commerce,5,965.00,0.00,965.00,660.00,305.15
30,38,15,253,1,2025-06-01,2025,6,June,2,"Dia dos Namorados",1,"Produto 38","Quem Disse Berenice",Perfume,Amadeirado,"Loja 15",Nordeste,PE,Recife,M,18-25,True,"Loja FÃ­sica",2,139.00,0.00,139.00,75.00,63.36
31,19,2,23,1,2024-08-03,2024,8,August,3,Regular,1,"Produto 19",Eudora,Perfume,Floral,"Loja 2",Nordeste,SE,Aracaju,F,"NÃ£o Informado",True,"Loja FÃ­sica",4,779.00,0.00,779.00,434.00,345.64
32,15,2,106,2,2025-10-25,2025,10,October,4,Regular,1,"Produto 15",Eudora,Perfume,Amadeirado,"Loja 2",Nordeste,SE,Aracaju,M,26-35,False,E-commerce,2,122.00,12.00,110.00,73.00,37.08
33,3,13,NULL,1,2024-09-19,2024,9,September,3,Regular,0,"Produto 3","Quem Disse Berenice",Skincare,"Tratamento Facial","Loja 13",Sudeste,SP,"SÃ£o Paulo",NULL,NULL,NULL,"Loja FÃ­sica",4,624.00,31.00,593.00,364.00,229.10
34,6,3,432,1,2025-05-31,2025,5,May,2,"Dia das MÃ£es",1,"Produto 6",Eudora,Perfume,Floral,"Loja 3",Sul,MS,"Campo Grande",F,50+,True,"Loja FÃ­sica",1,217.00,43.00,174.00,146.00,27.66
35,27,12,NULL,1,2024-09-28,2024,9,September,3,Regular,1,"Produto 27","O BoticÃ¡rio",Perfume,Oriental,"Loja 12",Nordeste,BA,Salvador,NULL,NULL,NULL,"Loja FÃ­sica",1,34.00,6.00,27.00,13.00,13.59
36,17,4,NULL,2,2025-05-04,2025,5,May,2,"Dia das MÃ£es",1,"Produto 17","Quem Disse Berenice",Maquiagem,"PÃ³ Facial","Loja 4",Sul,PR,Curitiba,NULL,NULL,NULL,E-commerce,1,126.00,25.00,101.00,66.00,35.01
37,9,3,139,2,2025-12-22,2025,12,December,4,Natal,0,"Produto 9","O BoticÃ¡rio",Maquiagem,"PÃ³ Facial","Loja 3",Sul,MS,"Campo Grande",M,50+,True,E-commerce,1,52.00,0.00,52.00,34.00,17.68
38,49,4,101,2,2025-09-02,2025,9,September,3,Regular,0,"Produto 49",Eudora,Perfume,"NÃ£o Classificado","Loja 4",Sul,PR,Curitiba,M,26-35,True,E-commerce,5,1053.00,21.00,1032.00,697.00,335.13
39,20,13,398,2,2024-06-09,2024,6,June,2,"Dia dos Namorados",1,"Produto 20","O BoticÃ¡rio",Skincare,Anti-Idade,"Loja 13",Sudeste,SP,"SÃ£o Paulo",F,50+,True,E-commerce,2,477.00,0.00,477.00,260.00,216.74
40,29,13,NULL,1,2025-06-16,2025,6,June,2,"Dia dos Namorados",0,"Produto 29","Quem Disse Berenice",Skincare,"Tratamento Facial","Loja 13",Sudeste,SP,"SÃ£o Paulo",NULL,NULL,NULL,"Loja FÃ­sica",4,980.00,24.00,955.00,396.00,559.89
41,29,5,12,1,2025-03-10,2025,3,March,1,"Dia da Mulher",0,"Produto 29","Quem Disse Berenice",Skincare,"Tratamento Facial","Loja 5",Sudeste,SP,"SÃ£o Paulo",M,26-35,True,"Loja FÃ­sica",1,148.00,0.00,148.00,90.00,58.04
42,24,15,NULL,1,2025-08-14,2025,8,August,3,Regular,0,"Produto 24",Eudora,Skincare,Anti-Idade,"Loja 15",Nordeste,PE,Recife,NULL,NULL,NULL,"Loja FÃ­sica",3,279.00,18.00,261.00,115.00,145.37
43,25,2,NULL,1,2025-03-15,2025,3,March,1,"Dia da Mulher",1,"Produto 25",Eudora,Maquiagem,"PÃ³ Facial","Loja 2",Nordeste,SE,Aracaju,NULL,NULL,NULL,"Loja FÃ­sica",5,709.00,28.00,681.00,340.00,340.86
44,38,14,196,1,2024-10-02,2024,10,October,4,Regular,0,"Produto 38","Quem Disse Berenice",Perfume,Amadeirado,"Loja 14",Sul,RS,"Porto Alegre",M,50+,False,"Loja FÃ­sica",1,171.00,17.00,154.00,88.00,66.25
45,29,11,NULL,2,2025-05-17,2025,5,May,2,"Dia das MÃ£es",1,"Produto 29","Quem Disse Berenice",Skincare,"Tratamento Facial","Loja 11",Nordeste,CE,Fortaleza,NULL,NULL,NULL,E-commerce,3,147.00,4.00,142.00,75.00,67.44
46,10,11,3,2,2025-03-18,2025,3,March,1,"Dia da Mulher",0,"Produto 10",Eudora,Maquiagem,Batom,"Loja 11",Nordeste,CE,Fortaleza,F,18-25,False,E-commerce,5,631.00,0.00,631.00,334.00,296.90
47,37,5,NULL,1,2025-12-28,2025,12,December,4,Natal,1,"Produto 37",Eudora,Skincare,"ProteÃ§Ã£o Solar","Loja 5",Sudeste,SP,"SÃ£o Paulo",NULL,NULL,NULL,"Loja FÃ­sica",1,224.00,22.00,201.00,138.00,63.12
48,26,4,138,1,2024-02-16,2024,2,February,1,Regular,0,"Produto 26","Quem Disse Berenice",Skincare,"ProteÃ§Ã£o Solar","Loja 4",Sul,PR,Curitiba,F,18-25,False,"Loja FÃ­sica",3,565.00,18.00,546.00,233.00,313.02
49,10,4,383,2,2024-09-11,2024,9,September,3,Regular,0,"Produto 10",Eudora,Maquiagem,Batom,"Loja 4",Sul,PR,Curitiba,F,18-25,True,E-commerce,3,201.00,0.00,201.00,127.00,73.68
50,38,5,NULL,2,2025-02-10,2025,2,February,1,Regular,0,"Produto 38","Quem Disse Berenice",Perfume,Amadeirado,"Loja 5",Sudeste,SP,"SÃ£o Paulo",NULL,NULL,NULL,E-commerce,1,137.00,0.00,137.00,88.00,48.98
51,14,7,424,2,2024-09-27,2024,9,September,3,Regular,0,"Produto 14","O BoticÃ¡rio",Maquiagem,"NÃ£o Classificado","Loja 7",Sul,RS,"Porto Alegre",M,18-25,True,E-commerce,2,298.00,29.00,268.00,203.00,64.75
52,8,2,110,2,2024-10-15,2024,10,October,4,Regular,0,"Produto 8",Eudora,Perfume,Gourmand,"Loja 2",Nordeste,SE,Aracaju,F,"NÃ£o Informado",False,E-commerce,1,149.00,14.00,134.00,95.00,38.62
53,15,1,NULL,1,2025-06-01,2025,6,June,2,"Dia dos Namorados",1,"Produto 15",Eudora,Perfume,Amadeirado,"Loja 1",Nordeste,PE,Recife,NULL,NULL,NULL,"Loja FÃ­sica",3,331.00,22.00,309.00,197.00,112.08
54,44,11,NULL,2,2024-11-04,2024,11,November,4,"Black Friday",0,"Produto 44","O BoticÃ¡rio",Maquiagem,Olhos,"Loja 11",Nordeste,CE,Fortaleza,NULL,NULL,NULL,E-commerce,5,655.00,0.00,655.00,424.00,231.20
55,30,2,40,1,2024-04-14,2024,4,April,2,Regular,1,"Produto 30","O BoticÃ¡rio",Maquiagem,Corretivo,"Loja 2",Nordeste,SE,Aracaju,M,"NÃ£o Informado",True,"Loja FÃ­sica",4,254.00,0.00,254.00,114.00,139.68
56,3,10,440,1,2025-09-22,2025,9,September,3,Regular,0,"Produto 3","Quem Disse Berenice",Skincare,"Tratamento Facial","Loja 10",Nordeste,CE,Fortaleza,M,26-35,True,"Loja FÃ­sica",2,174.00,0.00,174.00,85.00,88.44
