customer_id,gender,age_group,loyalty_flag
1,M,50+,0
2,M,50+,1
3,F,18-25,0
4,F,50+,1
5,M,18-25,0
6,,36-50,1
7,M,26-35,0
8,M,26-35,0
9,,26-35,0
10,,18-25,1
11,M,18-25,1
12,M,26-35,1
13,M,26-35,0
14,M,18-25,1
15,F,36-50,1
16,,36-50,1
17,,26-35,0
18,,50+,1
19,M,50+,1
20,M,18-25,1
21,F,50+,0
22,F,26-35,0
23,F,36-50,1
24,,18-25,0
25,M,36-50,1
26,,50+,0
27,,18-25,1
28,,36-50,1
29,F,26-35,1
30,,50+,1
31,F,26-35,0
32,,50+,1
33,,36-50,1
34,,36-50,1
35,M,50+,0
36,M,36-50,1
37,F,36-50,1
38,M,50+,1
39,F,36-50,0
40,M,36-50,1
41,M,18-25,1
42,F,26-35,1
43,,50+,0
44,,18-25,0
45,,50+,0
46,,36-50,1
47,M,36-50,0
48,F,50+,1
49,,36-50,1
50,,26-35,1
51,M,18-25,0
52,F,50+,1
53,F,18-25,0
54,M,36-50,0
55,,50+,0
56,M,18-25,0
57,F,50+,1
58,F,50+,0
59,,36-50,1
60,F,36-50,1
61,F,26-35,0
62,M,18-25,0
63,F,36-50,0
64,M,50+,1
65,F,50+,0
66,F,50+,1
67,F,18-25,0
68,F,18-25,0
69,F,36-50,0
70,,36-50,1
71,M,36-50,0
72,M,26-35,1
73,,26-35,0
74,,36-50,0
75,M,26-35,0
76,,18-25,1
77,,36-50,0
78,,36-50,0
79,,26-35,1
80,F,26-35,1
81,,36-50,0
82,F,50+,1
83,F,36-50,1
84,F,26-35,0
85,M,36-50,0
86,F,36-50,0
87,M,36-50,0
88,,18-25,1
89,,36-50,0
90,M,18-25,1
91,F,18-25,0
92,,50+,1
93,M,50+,1
94,F,26-35,1
95,F,18-25,0
96,,50+,1
97,F,36-50,0
98,F,36-50,1
99,,26-35,0
100,M,26-35,1
101,M,26-35,1
102,,50+,1
103,M,36-50,1
104,,50+,0
105,M,26-35,0
106,M,26-35,0
107,,36-50,1
108,,26-35,0
109,M,36-50,1
110,F,36-50,0
111,,50+,0
112,M,50+,1
113,,18-25,0
114,M,18-25,0
115,F,26-35,0
116,,18-25,0
117,,18-25,1
118,F,50+,1
119,,26-35,1
120,M,26-35,1
121,F,18-25,1
122,,50+,0
123,M,26-35,1
124,M,50+,1
125,,50+,0
126,,50+,1
127,,50+,1
128,F,26-35,1
129,M,50+,1
130,M,18-25,1
