sale_id,sale_date,product_id,store_id,channel_id,customer_id,quantity,gross_revenue,discount_value,net_revenue,cost
1,2024-03-19,9,2,2,268,3,166.14,11.08,155.06,103.74
2,2025-01-14,20,7,1,34,1,139.76,0.0,139.76,79.04
3,2024-03-22,37,12,1,412,1,31.18,3.12,28.06,15.64
4,2024-07-31,5,14,2,392,3,680.01,0.0,680.01,353.61
5,2024-12-25,38,3,2,419,1,226.8,45.36,181.44,95.18
6,2024-01-04,32,8,2,335,1,142.35,14.23,128.12,95.68
7,2025-06-07,32,15,2,180,4,417.4,0.0,417.4,276.24
8,2024-09-20,22,5,1,79,3,417.6,13.92,403.68,281.1
9,2025-04-08,22,3,1,186,5,919.95,18.4,901.55,557.8
10,2025-03-04,45,2,1,210,3,696.84,23.23,673.61,397.47
11,2025-08-04,16,14,1,101,3,268.17,0.0,268.17,116.13
12,2024-06-23,41,1,1,250,1,185.74,37.15,148.59,86.24
13,2025-04-26,29,13,1,214,4,432.36,10.81,421.55,236.44
14,2024-10-31,5,5,2,26,1,239.4,23.94,215.46,122.94
15,2025-09-25,42,1,1,409,1,69.1,13.82,55.28,40.43
16,2024-11-11,23,6,1,424,4,938.36,23.46,914.9,531.16
17,2024-02-21,19,12,1,393,5,645.95,0.0,645.95,441.25
18,2025-12-29,45,7,2,245,3,309.99,10.33,299.66,213.33
19,2025-06-15,30,11,1,296,1,44.41,0.0,44.41,27.55
20,2025-05-07,50,11,1,46,4,822.6,0.0,822.6,358.84
21,2024-03-26,6,11,1,249,1,144.91,0.0,144.91,79.97
22,2024-10-05,44,1,2,38,2,498.76,24.94,473.82,316.8
23,2025-11-15,23,15,1,257,5,437.55,17.5,420.05,189.7
24,2024-05-15,14,3,2,254,4,958.6,23.97,934.63,426.4
25,2025-04-16,41,1,1,246,1,238.1,23.81,214.29,126.21
26,2024-05-30,50,8,2,226,1,181.09,36.22,144.87,110.25
27,2024-01-23,12,3,1,21,5,224.5,4.49,220.01,97.15
28,2024-12-06,39,11,2,429,5,813.25,32.53,780.72,480.8
29,2025-01-30,4,9,2,130,5,965.8,0.0,965.8,660.65
30,2025-06-01,38,15,1,253,2,139.26,0.0,139.26,75.9
31,2024-08-03,19,2,1,23,4,779.8,0.0,779.8,434.16
32,2025-10-25,15,2,2,106,2,122.8,12.28,110.52,73.44
33,2024-09-19,3,13,1,268,4,624.48,31.22,593.26,364.16
34,2025-05-31,6,3,1,432,1,217.54,43.51,174.03,146.37
35,2024-09-28,27,12,1,221,1,34.31,6.86,27.45,13.86
36,2025-05-04,17,4,2,104,1,126.49,25.3,101.19,66.18
37,2025-12-22,9,3,2,139,1,52.49,0.0,52.49,34.81
38,2025-09-02,49,4,2,101,5,1053.7,21.07,1032.63,697.5
39,2024-06-09,20,13,2,398,2,477.04,0.0,477.04,260.3
40,2025-06-16,29,13,1,96,4,980.4,24.51,955.89,396.0
41,2025-03-10,29,5,1,12,1,148.06,0.0,148.06,90.02
42,2025-08-14,24,15,1,443,3,279.99,18.67,261.32,115.95
43,2025-03-15,25,2,1,49,5,709.7,28.39,681.31,340.45
44,2024-10-02,38,14,1,196,1,171.66,17.17,154.49,88.24
45,2025-05-17,29,11,2,373,3,147.63,4.92,142.71,75.27
46,2025-03-18,10,11,2,3,5,631.25,0.0,631.25,334.35
47,2025-12-28,37,5,1,175,1,224.27,22.43,201.84,138.72
48,2024-02-16,26,4,1,138,3,565.2,18.84,546.36,233.34
49,2024-09-11,10,4,2,383,3,201.63,0.0,201.63,127.95
50,2025-02-10,38,5,2,34,1,137.92,0.0,137.92,88.94
51,2024-09-27,14,7,2,424,2,298.28,29.83,268.45,203.7
52,2024-10-15,8,2,2,110,1,149.51,14.95,134.56,95.94
53,2025-06-01,15,1,1,183,3,331.68,22.11,309.57,197.49
54,2024-11-04,44,11,2,369,5,655.7,0.0,655.7,424.5
55,2024-04-14,30,2,1,40,4,254.48,0.0,254.48,114.8
56,2025-09-22,3,10,1,440,2,174.2,0.0,174.2,85.76
57,2024-10-28,1,12,2,318,5,736.3,14.73,721.57,396.9
58,2024-07-21,42,12,2,176,2,334.56,0.0,334.56,218.06
59,2024-03-02,37,9,2,307,5,1218.65,24.37,1194.28,804.8
60,2025-12-22,23,9,1,37,3,681.66,0.0,681.66,335.91
61,2025-10-23,33,8,1,408,2,398.78,39.88,358.9,195.06
62,2025-10-06,22,13,2,495,5,724.25,28.97,695.28,413.95
63,2025-02-24,24,7,1,333,4,166.72,0.0,166.72,80.72
64,2024-10-05,5,2,1,314,5,183.35,7.33,176.02,104.6
65,2025-09-24,49,11,2,277,4,167.68,0.0,167.68,87.0
66,2024-12-25,44,4,2,497,1,32.42,3.24,29.18,18.59
67,2025-07-24,27,8,1,366,1,155.65,31.13,124.52,104.53
68,2025-11-01,29,8,1,273,2,149.04,0.0,149.04,72.16
69,2024-01-18,32,11,1,93,2,214.26,0.0,214.26,137.4
70,2025-06-20,11,8,2,245,1,165.22,16.52,148.7,80.51
71,2025-09-16,36,14,2,418,2,68.66,0.0,68.66,28.34
72,2025-07-22,39,15,1,390,4,890.84,44.54,846.3,523.28
73,2025-08-19,39,5,2,401,3,624.03,20.8,603.23,420.84
74,2024-10-06,21,8,2,335,5,415.5,16.62,398.88,204.95
75,2024-12-04,32,13,1,220,3,454.77,30.32,424.45,182.73
76,2024-01-13,46,12,1,413,1,241.55,0.0,241.55,125.94
77,2025-09-22,12,10,2,223,5,645.95,25.84,620.11,266.35
78,2025-04-13,9,6,2,30,3,521.31,0.0,521.31,242.85
79,2025-03-25,48,5,1,384,4,286.88,14.34,272.54,168.92
80,2024-02-19,4,15,2,470,2,209.4,0.0,209.4,126.56
81,2024-05-03,10,7,1,225,4,851.32,21.28,830.04,473.56
82,2024-04-23,8,1,1,299,4,343.36,0.0,343.36,162.44
83,2025-07-23,34,15,2,448,3,748.11,49.87,698.24,435.99
84,2025-01-21,17,8,1,219,5,353.65,7.07,346.58,210.05
85,2025-01-13,11,2,2,431,2,355.5,0.0,355.5,241.56
86,2025-12-17,29,12,2,190,3,260.19,0.0,260.19,180.03
87,2025-12-15,25,14,1,134,2,139.56,6.98,132.58,64.46
88,2024-02-23,27,7,1,336,1,115.89,11.59,104.3,55.03
89,2025-02-04,33,13,2,119,3,713.13,23.77,689.36,382.74
90,2024-04-29,24,4,2,376,3,462.45,30.83,431.62,310.59
91,2024-01-26,47,2,2,217,1,107.77,21.55,86.22,70.4
92,2025-02-21,15,10,2,299,5,909.9,36.4,873.5,613.6
93,2025-03-10,22,8,1,154,5,605.8,0.0,605.8,276.3
94,2024-11-17,15,7,1,478,3,451.44,0.0,451.44,283.44
95,2025-08-22,42,10,1,49,1,219.83,0.0,219.83,91.36
96,2024-01-28,27,12,1,23,3,704.43,23.48,680.95,322.74
97,2024-07-24,41,5,2,180,1,246.25,0.0,246.25,114.9
98,2024-04-29,18,12,1,318,3,219.81,0.0,219.81,149.31
99,2024-06-25,45,3,1,187,1,89.01,0.0,89.01,43.71
100,2024-11-25,6,12,2,53,4,624.4,0.0,624.4,429.48
101,2024-12-30,44,8,1,3,1,190.36,0.0,190.36,109.86
102,2025-03-08,47,1,1,86,1,142.35,0.0,142.35,89.52
103,2025-08-15,37,11,2,135,3,581.88,19.4,562.48,283.47
104,2025-01-11,28,4,1,217,1,180.79,36.16,144.63,95.43
105,2025-02-07,8,10,2,436,5,1220.4,0.0,1220.4,650.8
106,2025-10-24,2,5,2,262,4,980.44,0.0,980.44,622.44
107,2025-08-01,42,1,2,191,2,123.2,6.16,117.04,51.62
108,2025-03-30,32,12,1,100,5,377.0,7.54,369.46,233.75
109,2024-03-07,30,12,1,495,2,223.88,11.19,212.69,133.84
110,2025-04-12,40,5,1,360,1,143.45,28.69,114.76,100.14
111,2024-10-22,13,12,2,263,1,225.06,22.51,202.55,126.4
112,2025-04-01,30,5,2,159,1,201.78,0.0,201.78,105.03
113,2025-03-14,37,3,1,316,1,133.42,13.34,120.08,71.45
114,2024-01-04,9,9,1,42,5,1175.0,23.5,1151.5,746.15
115,2025-05-24,38,14,2,400,1,117.65,0.0,117.65,60.65
116,2024-06-22,27,10,2,462,1,68.3,13.66,54.64,32.73
117,2025-09-28,23,7,2,127,2,60.64,6.06,54.58,34.56
118,2025-09-23,50,14,2,63,3,254.97,0.0,254.97,129.33
119,2024-03-26,39,6,2,206,2,406.08,20.3,385.78,274.68
120,2024-09-30,10,9,2,406,2,111.4,11.14,100.26,72.82
121,2025-09-03,38,3,2,151,5,435.35,0.0,435.35,264.15
122,2024-04-27,2,13,2,448,2,402.84,40.28,362.56,161.24
123,2024-09-04,15,4,1,160,4,658.0,32.9,625.1,339.28
124,2024-03-07,9,14,2,180,3,673.92,22.46,651.46,464.25
125,2024-09-08,20,9,2,129,4,812.12,40.61,771.51,359.56
126,2024-11-01,25,10,1,48,5,1212.8,0.0,1212.8,537.05
127,2024-12-28,23,2,2,380,4,609.16,30.46,578.7,337.56
128,2025-01-10,21,8,2,247,1,188.16,0.0,188.16,105.44
129,2025-03-01,49,3,2,350,2,202.18,10.11,192.07,137.98
130,2025-05-09,25,7,2,344,2,158.72,7.94,150.78,88.76
131,2024-06-03,29,2,1,458,1,126.58,12.66,113.92,76.35
132,2024-11-04,13,3,1,328,3,694.77,0.0,694.77,445.53
133,2024-03-04,16,12,1,423,2,223.9,0.0,223.9,99.44
134,2024-07-24,46,1,1,496,4,208.76,0.0,208.76,145.36
135,2024-12-12,29,13,1,125,3,493.65,0.0,493.65,238.77
136,2024-12-03,1,2,1,308,5,916.95,18.34,898.61,399.8
137,2025-12-14,44,10,2,133,1,140.43,28.09,112.34,96.01
138,2024-02-20,36,14,1,205,5,393.4,15.74,377.66,254.5
139,2024-03-16,20,5,2,52,5,485.4,0.0,485.4,326.9
140,2024-04-15,32,8,2,449,5,908.55,36.34,872.21,511.6
141,2024-07-20,28,7,2,152,5,414.45,8.29,406.16,178.9
142,2024-12-07,39,13,1,489,3,613.68,40.91,572.77,404.88
143,2025-04-22,15,12,1,47,5,1031.25,41.25,990.0,486.0
144,2024-05-14,34,6,2,189,2,206.48,0.0,206.48,115.96
145,2025-11-08,30,15,1,306,2,221.66,22.17,199.49,137.78
146,2024-08-25,26,6,1,88,5,898.4,35.94,862.46,517.0
147,2025-10-31,37,1,2,495,2,164.98,0.0,164.98,106.6
148,2024-04-21,2,7,1,123,2,215.56,10.78,204.78,148.04
149,2024-12-10,5,10,1,16,3,512.52,17.08,495.44,318.93
150,2024-10-23,27,10,2,468,1,96.68,0.0,96.68,64.03
151,2024-10-19,30,8,2,468,2,201.2,10.06,191.14,136.46
152,2024-06-28,48,15,1,101,3,135.84,9.06,126.78,91.05
153,2025-12-20,35,9,1,144,3,151.47,10.1,141.37,61.8
154,2025-01-31,25,10,2,253,3,267.15,8.9,258.25,183.0
155,2025-08-26,5,5,2,44,5,480.9,0.0,480.9,284.5
156,2025-02-14,44,4,1,414,2,498.52,24.93,473.59,297.08
157,2025-12-07,48,9,1,51,5,264.75,10.59,254.16,149.7
